Observation_number,Date,AwayTeam,HomeTeam,HomeSpread,AwaySpread,absspread,AwayPercOfBets,HomePercOfBets,Bets,roadfav,,,,,,,,,,,,,,,,,,,,,,,
192,2024-12-01,Rams,Saints,3,-3,3,0.7,0.3,112863,1,,,,,,,,,,,,,,,,,,,,,,,
193,2024-12-01,Eagles,Ravens,-3,3,3,0.65,0.35,160195,0,,,,,,,,,,,,,,,,,,,,,,,
194,2024-12-01,49ers,Bills,-6.5,6.5,6.5,0.39,0.61,218427,0,,,,,,,,,,,,,,,,,,,,,,,
195,2024-12-02,Browns,Broncos,-6.5,6.5,6.5,0.31,0.69,269924,0,,,,,,,,,,,,,,,,,,,,,,,
196,2024-12-05,Packers,Lions,-3.5,3.5,3.5,0.48,0.52,333664,0,,,,,,,,,,,,,,,,,,,,,,,
197,2024-12-08,Jets,Dolphins,-6.5,6.5,6.5,0.27,0.73,119518,0,,,,,,,,,,,,,,,,,,,,,,,
198,2024-12-08,Panthers,Eagles,-14,14,14,0.42,0.58,105755,0,,,,,,,,,,,,,,,,,,,,,,,
199,2024-12-08,Browns,Steelers,-6,6,6,0.36,0.64,132377,0,,,,,,,,,,,,,,,,,,,,,,,
200,2024-12-08,Raiders,Buccaneers,-6.5,6.5,6.5,0.31,0.69,132952,0,,,,,,,,,,,,,,,,,,,,,,,
201,2024-12-08,Jaguars,Titans,-3,3,3,0.4,0.6,90957,0,,,,,,,,,,,,,,,,,,,,,,,
202,2024-12-08,Saints,Giants,5.5,-5.5,5.5,0.68,0.32,95763,1,,,,,,,,,,,,,,,,,,,,,,,
203,2024-12-08,Falcons,Vikings,-6,6,6,0.58,0.42,149128,0,,,,,,,,,,,,,,,,,,,,,,,
204,2024-12-08,Seahawks,Cardinals,-3,3,3,0.7,0.3,110541,0,,,,,,,,,,,,,,,,,,,,,,,
205,2024-12-08,Bears,49ers,-3,3,3,0.63,0.37,112929,0,,,,,,,,,,,,,,,,,,,,,,,
